2025-05-27 10:58:41,039 INFO    MainThread:2245442 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-05-27 10:58:41,040 INFO    MainThread:2245442 [wandb_setup.py:_flush():67] Configure stats pid to 2245442
2025-05-27 10:58:41,040 INFO    MainThread:2245442 [wandb_setup.py:_flush():67] Loading settings from /global/homes/h/haoming/.config/wandb/settings
2025-05-27 10:58:41,040 INFO    MainThread:2245442 [wandb_setup.py:_flush():67] Loading settings from /pscratch/sd/h/haoming/Projects/hep_models/scripts/wandb/settings
2025-05-27 10:58:41,040 INFO    MainThread:2245442 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-27 10:58:41,040 INFO    MainThread:2245442 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /pscratch/sd/h/haoming/Projects/hep_models/scripts/wandb/run-20250527_105841-qeql4sbv/logs/debug.log
2025-05-27 10:58:41,040 INFO    MainThread:2245442 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /pscratch/sd/h/haoming/Projects/hep_models/scripts/wandb/run-20250527_105841-qeql4sbv/logs/debug-internal.log
2025-05-27 10:58:41,040 INFO    MainThread:2245442 [wandb_init.py:init():781] calling init triggers
2025-05-27 10:58:41,040 INFO    MainThread:2245442 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'batch_size': 512, 'num_epochs': 50, 'learning_rate': 0.0002, 'vq_kwargs': {'num_codes': 2048, 'beta': 0.25, 'affine_lr': 0.0, 'sync_nu': 2, 'replace_freq': 20, 'dim': -1}, '_wandb': {}}
2025-05-27 10:58:41,040 INFO    MainThread:2245442 [wandb_init.py:init():809] starting backend
2025-05-27 10:58:41,040 INFO    MainThread:2245442 [wandb_init.py:init():813] sending inform_init request
2025-05-27 10:58:41,067 INFO    MainThread:2245442 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-27 10:58:41,068 INFO    MainThread:2245442 [wandb_init.py:init():823] backend started and connected
2025-05-27 10:58:41,071 INFO    MainThread:2245442 [wandb_init.py:init():915] updated telemetry
2025-05-27 10:58:41,072 INFO    MainThread:2245442 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-05-27 10:58:41,664 INFO    MainThread:2245442 [wandb_init.py:init():1014] starting run threads in backend
2025-05-27 10:58:42,789 INFO    MainThread:2245442 [wandb_run.py:_console_start():2454] atexit reg
2025-05-27 10:58:42,789 INFO    MainThread:2245442 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-05-27 10:58:42,789 INFO    MainThread:2245442 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-05-27 10:58:42,789 INFO    MainThread:2245442 [wandb_run.py:_redirect():2394] Redirects installed.
2025-05-27 10:58:42,816 INFO    MainThread:2245442 [wandb_init.py:init():1056] run started, returning control to user process
2025-05-27 11:47:22,103 INFO    MsgRouterThr:2245442 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
